numunitid,obsval,source_code_description,description
17675,1,,25/40
18013,1,,10 a week
20887,1,,mmol/mols
27670,1,,\meddata\s6000\document\Apollo\2012\AUG\MERG1091.T
20302,1,,times / 6 weekly
21556,1,,weeks on and off
7901,1,,roll-ups/d
8183,1,,\meddata\s6000\document\Apollo\2011\AUG\164983.TIF
14479,1,,less than a day
19620,1,,\meddata\s6000\document\Apollo\2004\JUN\5413.TIF|5
23981,1,,exp = 0 -10
28681,1,billion per liter,10/9 l(.672%)
27094,1,,last 3 months
25912,1,,up to 4 mg daily
15438,1,millimole per 24 hours,mmols/24 hr
28843,1,,- 20 Roll ups daily
21774,1,,ts/week
28533,1,,20 rollups a day
24646,1,,25g /week
24013,1,,exp = 135-180
16568,1,percent,mmol/min/kPa/L (98%)
28098,1,,rolls/per day
28954,1,billion per liter,x10^9/l(77.7%)
28486,1,,TRIG 2.95 TSH 2.94
29172,1,,microgram/liter
20809,1,,mgs nicotine vape
24545,1,,\meddata\s6000\document\Apollo\2012\MAR\271953.TIF
26589,1,,mild renal
7910,1,,/3years
21209,1,billion per liter,10/9 l(47.6%)
22195,1,,indefinire
18597,1,,3 monthly b12 inject
24729,1,,glasses wine /day
24966,1,,times/2-3 weeks
27749,1,,1.15
19126,1,billion per liter,10/9 l(5.75%)
18096,1,,g aday
18988,1,,18/40
15699,1,,Per Sec
28773,1,,year PHT
18931,1,,puffs/24hrs
2519,1,,OD RATIO
14584,1,,dayly
2122,1,millimole per liter,*mmol/L(0.70-1.50)
21712,1,,debs
13476,1,,times/3
28280,1,,since last rveiew
28481,1,,u a month very rare
13382,1,percent,<7% - good
14202,1,,years approx
28379,1,,times/this week
10310,1,,RSV antigen level
17772,1,billion per liter,10/9 l(27.1%)
27138,1,,/OCASIONAL
15434,1,,glasses cider/night
21948,1,,1/5 per day
21349,1,,indefiite
12639,1,,/70 U/week
28056,1,,U/light social drink
28536,1,,/82
23529,1,,5mg to   7mg
25868,1,,mmols at 14.30 hrs
12351,1,heartbeat,86 beats/min
21614,1,,less then monthly.
28884,1,billion per liter,10/9 l(56.1%)
22318,1,,10 to 15 perd ay
9776,1,,E1IU/L
11673,1,,(2.2-20)
24845,1,,1994
29237,1,,-15
25837,1,,1 in 825 downs
14725,1,,socially only now
24140,1,,g/LL/L
21098,1,,Currently Pregnant
16424,1,,pint/wk
21363,1,,ng/gram
3402,1,,22g
3518,1,,Serum pregnancy test equivocal
29289,1,,Cigarettes/ Day
15427,1,,sml cans larger/day
27810,1,billion per liter,x10^9/l(30.9%)
22599,1,,ub Hb/g faeces
27421,1,,"3,4x a week, depends"
24104,1,,ounces/wk.
23182,1,,10 to 19
18840,1,,three time a week
21077,1,,/dayunkown
25166,1,,WBC 13.67
11656,1,,cm water
19772,1,,\meddata\s6000\document\Apollo\2005\FEB\9295.TIF|9
21758,1,billion per liter,10/9 l(.852%)
21011,1,billion per liter,10/9 l(31.3%)
16337,1,,cig per week for 2m
20222,1,,/5-3
29229,1,,-7 pints
28635,1,billion per liter,10/9 l(2.30%)
28516,1,,ugHb/g feaces
17266,1,,Full
26530,1,,\meddata\s6000\document\Apollo\2009\DEC\157916.TIF
11509,1,,(0.8-2.0 ug/1)
23149,1,,415-425
17654,1,billion per liter,10/9 l(65.9%)
20765,1,,and 12
16347,1,,roll/week
26313,1,,8.20 H
1785,1,billion per liter,10/9 l(.839%)
28539,1,,\meddata\s6000\document\Apollo\2011\JUN\347513.AHF
24741,1,billion per liter,10/9 l(2.38%)
16264,1,,\meddata\s6000\document\Apollo\2008\APR\SCAN3843.T
22369,1,billion per liter,10/9 l(38.9%)
14506,1,,1per week
8889,1,,4mm
14775,1,,1/5
23402,1,,dose 6/6/7 ALT DAYS
19448,1,,\meddata\s6000\document\Apollo\2003\SEP\1273.TIF|1
28989,1,billion per liter,x10^9/l(42.8%)
4033,1,,7es/week
18752,1,,2-U/week
2807,1,,3/units
25818,1,,\meddata\s6000\document\Apollo\2010\MAR\170206.TIF
23427,1,,3MG/4MG/4MG ALT DAY
3143,1,,.day
20324,1,percent,22%L/s
25385,1,,WBC 11./68
28864,1,,77umol/L
15367,1,,mcmol/ml
15431,1,,cans beer/week
2009,1,,mmol/1 sodium
26349,1,,not high enough
25360,1,,stabe 4/5 alt.days
7229,1,,1248
19849,1,,\meddata\s6000\document\Apollo\2007\OCT\49037.TIF|
24452,1,,\meddata\s6000\document\Apollo\2009\MAY\143012.TIF
27966,1,,203 TIMES A WEEK
3787,1,,g/week2
24215,1,,3 cigarettes
28035,1,,per day/cigarettes
9174,1,,18 /minute
23784,1,,8 years ogo
9402,1,,(L)[0.5-1.2]
5619,1,,2344
29010,1,,2627
29098,1,,"times a day,3 a week"
19373,1,,\meddata\s6000\document\Apollo\2003\JUL\416.TIF|41
19411,1,,\meddata\s6000\document\Apollo\2003\NOV\2513.TIF|2
3236,1,,in January
24529,1,,\meddata\s6000\document\Apollo\2012\JUN\282555.TIF
25983,1,,WBC 3.21
20269,1,,micorg/L
22840,1,percent,litre 62%
24773,1,,1/15
9024,1,,eu scale old scale =
28744,1,,days k
18995,1,,330 /min
27356,1,,weeks_
21279,1,,2-3 times a day
29005,1,,L/min175
19297,1,billion per liter,10/9 l(6.19%)
22736,1,,- 10 cans cider/day
29190,1,,Can of lager/day.
17498,1,,one a day
23957,1,,bottle e liquid week
28517,1,,L520/min
26623,1,,t mg retest 1/52
8774,1,,g daily
6545,1,,Rise
28975,1,billion per liter,x10^9/l(72%)
7858,1,,O3/2017
21704,1,,2-3 times wk
12919,1,,cigar a day.
21894,1,,/day 5-6
17097,1,,mcgl/L
12194,1,,g/dml
29261,1,,-3/day
17762,1,,variable rd
23854,1,,packs/ year
11372,1,,g/sp
19805,1,,\meddata\s6000\document\Apollo\2005\JAN\9083.TIF|9
24552,1,,\meddata\s6000\document\Apollo\2012\NOV\302351.TIF
27571,1,,/gms per week
29029,1,,2 in year
9625,1,,Myelocytes present
17555,1,,age-commencement
17741,1,,CAE units
9129,1,,ug/L High
14753,1,,6-12 u /week
3114,1,,trig
29214,1,,4 or more a wk
15812,1,,5g per day
29250,1,,Int Unit /L
29071,1,,months initially
25865,1,,low - WBC 7.84
17513,1,,u/gm
26553,1,percent,86.4%
27993,1,,60/min
20219,1,,/40 copd ass
25786,1,,\meddata\s6000\document\Apollo\2007\MAR\41863.TIF|
11068,1,,\meddata\s6000\document\Apollo\2008\MAY\90141.AHF|
6098,1,,LH level normal
17020,1,,Parotid gland antibody level
27513,1,,5  times/week
19530,1,,\meddata\s6000\document\Apollo\2004\DEC\8440.TIF|8
14188,1,billion per liter,0.x10^9/L
23175,1,,35.7
13583,1,,mcmol/dL
17429,1,,up-to/Day
19826,1,,\meddata\s6000\document\Apollo\2005\NOV\18605.TIF|
15435,1,,bottle wine /week
23905,1,,2 g
28677,1,,times/dat
15645,1,billion per liter,10/9 l(5.73%)
8944,1,,U/day vodka
14301,1,,\meddata\s6000\document\Apollo\2012\OCT\doc2005042
1390,1,percent,ppm - 1.3%
18560,1,percent,cans 9% lager/day
7191,1,,times/w
17237,1,,week + ?
24549,1,,\meddata\s6000\document\Apollo\2012\MAY\396479.AHF
10484,1,,Islet cell antibody level
27496,1,billion per liter,10/9 l(81.5%)
17031,1,,Urine MDA level
26659,1,,WBC 11.69
13339,1,,\meddata\s6000\document\Apollo\2011\FEB\SCAN2625.T
13473,1,,cup/disc ratio
21637,1,,5/20 day
19325,1,,\meddata\s6000\document\Apollo\2003\AUG\945.TIF|94
17930,1,,10g/2day
21085,1,,Not drunk for 2 year
16108,1,,mmo#
15365,1,,- occasional smoker
19723,1,,\meddata\s6000\document\Apollo\2004\OCT\7652.TIF|7
23318,1,,1MG/2MG/2MG ALT D
24808,1,,g/ 4 day
28599,1,,/pack/week
23510,1,,2/1/1/2
16265,1,,\meddata\s6000\document\Apollo\2008\SEP\35312.TIF|
20589,1,,/day zero
25545,1,,\meddata\s6000\document\Apollo\2010\APR\174020.TIF
24660,1,,cigatettes a day
21487,1,,17/20 per day
13543,1,,ug/ l
21400,1,,x10 to power 9 per L
12921,1,,U every 2/52
16283,1,,U/1week
10714,1,,per/hpf
4329,1,,1/per week
28394,1,,L/min280
28862,1,,/in past month
16165,1,,mmol/L5.5
17455,1,,HIV1 antibody level
28887,1,billion per liter,10/9 l(6.79%)
26893,1,,\meddata\s6000\document\Apollo\2012\DEC\293643.TIF
23903,1,,U60/week
15501,1,,\meddata\s6000\document\Apollo\2011\MAR\SCAN3578.T
24350,1,,not stated amount
27414,1,percent,% 3.55
12239,1,,very seldom
9329,1,,MPL/U/ml
19433,1,,\meddata\s6000\document\Apollo\2003\OCT\2024.TIF|2
13157,1,,ng/ml (10-300 ng/ml)
21695,1,percent,30-35%
28730,1,,trying to quit
26433,1,,WBC 18.26
6835,1,,1200
20392,1,,"times/week, winter"
28037,1,,7.5 cm
3104,1,,2.8 - 6.5
21345,1,,16/21
21341,1,,2 /12
19609,1,,\meddata\s6000\document\Apollo\2004\JUL\6163.TIF|6
28796,1,,mmo1/m01
24866,1,,6.06
22384,1,,22.2
16426,1,,lakhs/ul
26979,1,,WBC 11.40
25782,1,,\meddata\s6000\document\Apollo\2006\MAR\SCAN4974.T
12107,1,,/29 Cannot write
23814,1,,timesday
13951,1,,gm/cc
27425,1,,MONYHLY
24907,1,,ciggs/a day
11894,1,,1273
19186,1,,Traditional
28788,1,,Audst-C Score
16777,1,billion per liter,10/9 l(4.67%)
15921,1,,\meddata\s6000\document\Apollo\2005\FEB\MERG0956.T
25369,1,,up to 6.5 mg
17824,1,,/we
15674,1,,1/s
20266,1,,20mg Nicotine/day
27201,1,,5-10 each day
8912,1,,pints cider week
25940,1,,WBC 11.64
22830,1,percent,117%
15768,1,,mL/mmol
24861,1,,\meddata\s6000\document\Apollo\2013\8\Document 111
22045,1,,grams/w
16761,1,,23.44
22655,1,billion per liter,10/9 l(3.65%)
6629,1,,cmg/L
9119,1,,\meddata\s6000\document\Apollo\2008\NOV\127935.TIF
18211,1,,44.7
18426,1,,- weekend
20543,1,,KU per L
15732,1,,audit scrore
17326,1,billion per liter,53x10^9/L
25303,1,,better cont 3mg
18561,1,,Litres Cider /Daily
21861,1,,/ in last week
17497,1,,occasional 1
17725,1,billion per liter,10/9 l(7.99)
24882,1,,fortninght
15285,1,,picc line
20018,1,,pipe p/week
13218,1,,few beers a weekend
21074,1,,mcg/L2
9905,1,,Serum erythropoetin level
28201,1,,U/occasioannly
22684,1,billion per liter,10/9 l(48.2)
13835,1,,02/00000392202
25533,1,,\meddata\s6000\document\Apollo\2008\MAR\83026.TIF|
19643,1,,\meddata\s6000\document\Apollo\2004\MAR\4178.TIF|4
19555,1,,\meddata\s6000\document\Apollo\2004\FEB\3818.TIF|3
24154,1,,60g per week
19392,1,,\meddata\s6000\document\Apollo\2003\NOV\2163.TIF|2
25538,1,,\meddata\s6000\document\Apollo\2009\FEB\120255.TIF
16270,1,,50623O
17216,1,,month 2
19454,1,,\meddata\s6000\document\Apollo\2003\SEP\1429.TIF|1
26687,1,,WBC 18.71
17711,1,billion per liter,10/9 l(3.69%)
24056,1,,exp = 35 - 450
24136,1,,1 mool/
24926,1,,g roll up tobaco p/w
18959,1,,mmol/Lurin
29171,1,,/4 weeks
21270,1,,recurring
15761,1,,\meddata\s6000\document\Apollo\2012\6\Document 805
24168,1,,norm
27889,1,billion per liter,x10^9/l(59.0%)
21729,1,,- 156 umol/L
6621,1,,U/week50
22968,1,,[ <5 ]
27426,1,,less then  monthly
3169,1,,mml.L
16425,1,,Dare level 3
29224,1,,cigs / day
19897,1,,\meddata\s6000\document\Apollo\2013\4\Document 180
6643,1,,WRAP
21076,1,,indedinite
19417,1,,\meddata\s6000\document\Apollo\2003\OCT\1690.TIF|1
17750,1,,nights a week
19637,1,,\meddata\s6000\document\Apollo\2004\MAR\4030.TIF|4
25097,1,,POSITIVE ++
24962,1,,1-9 a day
17934,1,,p/mnth
28331,1,,TRAP
12533,1,,week ago
16199,1,,Micg/g
14168,1,,1916F9761
15635,1,billion per liter,10/9 l(5.48%)
16302,1,,300/min
16760,1,,wine/occasionally
9676,1,,11/2017
19370,1,,\meddata\s6000\document\Apollo\2003\JUL\401.TIF|40
26312,1,,3.5 mg
15437,1,millimole per 24 hours,mmols/24hr
26657,1,,WBC 11.60
21523,1,,every 15 minutes
20242,1,,\meddata\s6000\document\Apollo\2013\5\Document 359
29295,1,heartbeat,beats/min - regular
25589,1,,half /1 mg
22461,1,,1985
16057,1,,sepha
13700,1,,temp:
11598,1,,(0-340)
27688,1,,\meddata\s6000\document\Apollo\2012\MAY\MERG6879.T
28550,1,,2 - 3 times a week
4523,1,,x 10e9/l
23962,1,,exp - 0.40 - 0.54
27603,1,,10.6 x 10*9/l
10948,1,,1874
24194,1,,weeks +3 days
26259,1,,\meddata\s6000\document\Apollo\2006\JUN\SCAN0225.T
15580,1,,\meddata\s6000\document\Apollo\2011\APR\65386.TIF|
20871,1,,red wine
10284,1,,see overle
20021,1,,zzzL
18124,1,,less than 3.2
26280,1,,\meddata\s6000\document\Apollo\2009\FEB\MERG2324.T
17872,1,,to 5.3
23653,1,,1704
5717,1,billion per liter,10/9 l(5.92)
23268,1,,l/lk
16489,1,,5oo
23580,1,,5MG/6MG/6MG ALT DAY
19487,1,,\meddata\s6000\document\Apollo\2004\AUG\6353.TIF|6
25032,1,,\meddata\s6000\document\Apollo\2013\FEB\304675.TIF
23594,1,,1&2mg
9486,1,,15/16
21351,1,,cans stella/day
22738,1,,times in 2 years
10137,1,,class 3
15454,1,,18 day
9602,1,,/day when drinking
25112,1,,stable same 2 mg
21647,1,,every now and then
26679,1,,WBC 14.19
10621,1,,01.01.16 Neg
16970,1,,\meddata\s6000\document\Apollo\2012\8\Document 849
9500,1,,every 3-6 months
25678,1,,WBC 14.00
14326,1,,1916F6776
11016,1,,h81090
17677,1,,less than 1 a day
17225,1,,nearly
14217,1,,\meddata\s6000\document\Apollo\2012\MAY\doc2004121
21243,1,,no cig
16791,1,,16/25
21651,1,percent,mmol/mol (8.6%)
16960,1,,17/21
25885,1,,raised WBC 7.10
19343,1,,\meddata\s6000\document\Apollo\2003\DEC\2832.TIF|2
12419,1,,/100 iu/ml
26098,1,,repeat 1/52
20747,1,billion per liter,10/9 l(63.7)
10443,1,,Urine microscopy: no casts
17462,1,billion per liter,10/9 l(.703)
6978,1,,2317
27476,1,,2 x Month
22486,1,,doesn't want to tell
23431,1,,"4mg thur,sat"
16814,1,,0zs
25596,1,,noral
21021,1,billion per liter,10/9 l(54.8)
6516,1,,/0z
18194,1,,7hrs 2 min
16730,1,,\meddata\s6000\document\Apollo\2010\JAN\SCAN0815.T
29301,1,,ncg/L
26890,1,,\meddata\s6000\document\Apollo\2011\JAN\212061.TIF
16774,1,billion per liter,10/9 l(3.61%)
26509,1,,\meddata\s6000\document\Apollo\2006\JUN\SCAN0997.T
23213,1,,1/9 a day
19679,1,,\meddata\s6000\document\Apollo\2004\MAY\5127.TIF|5
17009,1,,Kidd blood group
21506,1,,/years.since.quit
16323,1,,/rollupsday
22531,1,billion per liter,10/9 l(2.92%)
27714,1,,\meddata\s6000\document\Apollo\2013\MAR\SCAN7085.T
10267,1,,gPER DAY
25635,1,,way too high
11783,1,percent,% 45
22543,1,,U/weeknd
22022,1,,AMFALIF
29081,1,billion per liter,10/9 l(.655%)
21680,1,,Bottle red wine /day
8775,1,,g/gram
15600,1,billion per liter,10/9 l(66.7%)
19734,1,,\meddata\s6000\document\Apollo\2004\SEP\6924.TIF|6
22112,1,,oz/week in past
19694,1,,\meddata\s6000\document\Apollo\2004\NOV\7818.TIF|7
27549,1,,or more drinks daily
3208,1,,9.1 - 23.8
28534,1,,U/every 2weeks
19039,1,,220 L/min
21766,1,heartbeat,beats/min MANUAL #
23973,1,,exp =  4.5 - 6.5
19779,1,,\meddata\s6000\document\Apollo\2005\FEB\9509.TIF|9
22008,1,,/7 Per Weekk
22334,1,billion per liter,10/9 l(26.0%)
22278,1,,times/every week day
25025,1,,\meddata\s6000\document\Apollo\2011\MAR\217286.TIF
28736,1,,55/165
24392,1,,Saturation iron binding capac
25591,1,,keep on 3.5 mg
19104,1,billion per liter,10/9 l(.848%)
19561,1,,\meddata\s6000\document\Apollo\2004\JAN\3073.TIF|3
19622,1,,\meddata\s6000\document\Apollo\2004\JUN\5461.TIF|5
9323,1,percent,% [1.18]
19744,1,,\meddata\s6000\document\Apollo\2004\SEP\7106.TIF|7
27448,1,,1 monthly or less
9558,1,,/d20ay
18114,1,,shisha pipes/week
25381,1,,WBC 10.67
20339,1,,NKNOWN UNIi
24112,1,,mm ol/l
15453,1,,inhibitors
14504,1,,hoiurs
19802,1,,\meddata\s6000\document\Apollo\2005\JAN\9064.TIF|9
20728,1,,indecifine
17899,1,,50.2
23074,1,,6 year
17398,1,,last night
23765,1,,/weekend (Social)
4639,1,gram,/25grams
28007,1,,U/week  n/a
23044,1,millimeter per hour,mm./hr
25318,1,,increas to 4 mg
24934,1,,a week.
25526,1,,\meddata\s6000\document\Apollo\2007\NOV\68652.TIF|
6074,1,,Neutrophil count abnormal
21667,1,billion per liter,x10^9/l(0.2%)
12983,1,,3-4 units
25274,1,,\meddata\s6000\document\Apollo\2008\JUN\93047.TIF|
15281,1,,30 a day
28460,1,,approx once a month
19626,1,,\meddata\s6000\document\Apollo\2004\JUN\5619.TIF|5
20779,1,,/roll-ups day
24959,1,,rolls own dail
21730,1,,- 275 mg/l
24998,1,,\meddata\s6000\document\Apollo\2007\DEC\72296.TIF|
11448,1,,U/mol/I
19503,1,,\meddata\s6000\document\Apollo\2004\AUG\6604.TIF|6
21507,1,,4+ times a week
25048,1,,coliform
11615,1,millimole per liter,mmol/Litire
18361,1,,2 g/week
18148,1,,< 5
25040,1,,borderine
28528,1,,ng/L (H)
20952,1,,CPMS ID 45890
7216,1,,0CCASIONALLY
23483,1,,3/4/4MG ALT
15324,1,,1x/week
16896,1,,Plasma conjugated bilirubin level
29053,1,,year- worsening
16619,1,,Serum cholinesterase level
19668,1,,\meddata\s6000\document\Apollo\2004\MAY\4970.TIF|4
27683,1,,\meddata\s6000\document\Apollo\2011\DEC\SCAN0064.T
19473,1,,\meddata\s6000\document\Apollo\2004\APR\4530.TIF|4
28349,1,,ICCmmol/mol
20862,1,,approx x 2 month
24779,1,,LDL - electrophoresis
16588,1,,nn/L
27997,1,billion per liter,10/9 l(.429%)
29227,1,,-10 a day
11289,1,,micromoles/litre
18690,1,,0 u/wk
27668,1,,\meddata\s6000\document\Apollo\2008\SEP\SCAN7518.T
28640,1,billion per liter,10/9 l(.349%)
2035,1,,6 hours pp
27736,1,,/puff per week e-cig
27722,1,,\meddata\s6000\document\Apollo\2012\AUG\210233.TIF
26206,1,,"WBC 5,28"
14930,1,billion per liter,x10^9/l(51.6%)
29232,1,,- 50 /day
9570,1,billion per liter,10/9 l(54.4%)
25715,1,,WBC 4.5
27189,1,,15grams per week
11472,1,,(50-160)
26014,1,,\meddata\s6000\document\Apollo\2006\SEP\22092.TIF|
15219,1,,U/monthyl
26691,1,,WBC 2.72 low
14665,1,,occ social smoker
21116,1,,alternate months
14547,1,,10*6 cells/mm*3
17900,1,,52.9
22746,1,,ug Hb/g Faceces
19335,1,,\meddata\s6000\document\Apollo\2003\DEC\2654.TIF|2
28917,1,,10* cells/uL
20900,1,,VLA2001
18684,1,,only at night
15164,1,,/6 monthly
27305,1,,occaionally
19330,1,,\meddata\s6000\document\Apollo\2003\AUG\965.TIF|96
19992,1,,g 10/days
6144,1,,once/wk
27766,1,,/monthl
10649,1,heartbeat,beats/mi
5501,1,,2125
18315,1,,11.6 week
3029,1,,day unit
27969,1,,of canabis g/day
5957,1,,Measles IgM level
21170,1,,4/6
28417,1,,7 units per year.
20637,1,,2-4 times mth
16220,1,,per mt.
24606,1,,Beer cans/week
12534,1,,wweeks
21144,1,,Glasses/night
15058,1,billion per liter,x10^9/l(50.0%)
25159,1,,WBC 12.86
4638,1,,umol/mol Cr
25014,1,,\meddata\s6000\document\Apollo\2009\SEP\145734.TIF
21632,1,,/years.since.stopped
27153,1,,ocvcasionally
5273,1,,1529
9410,1,,(N)[5-210]
6069,1,,Vaginal swab culture positive
26058,1,,2/3 mg alt days
25793,1,,\meddata\s6000\document\Apollo\2008\AUG\98593.TIF|
27611,1,,Monthly / Special
28797,1,,/ cigars week
29255,1,,/50 day
16831,1,,\meddata\s6000\document\Apollo\2011\MAR\SCAN3009.T
24223,1,,Toxicology screening test
2239,1,,10 CIGS A DAY
12312,1,,IUI/L
27608,1,,unaware of how much
22460,1,,/in last 6 months
11649,1,,2.0 - 20.0
25368,1,,up a bit
14018,1,,glass brandy/night
18177,1,,day.mth
25869,1,,mormal
19587,1,,\meddata\s6000\document\Apollo\2004\JAN\3427.TIF|3
18493,1,,nmol/10*9 platlets
3473,1,,c0- ppm
25262,1,,\meddata\s6000\document\Apollo\2006\MAY\7700.TIF|7
26879,1,,\meddata\s6000\document\Apollo\2009\JUN\142818.TIF
27249,1,,times/ days
23066,1,,pulses/year
17401,1,,farienheight
28855,1,,3/4 a day
22211,1,heartbeat,beats/min 74
24488,1,,\meddata\s6000\document\Apollo\2011\OCT\248426.TIF
18323,1,,a few a month
9828,1,,per cubic mm
13086,1,billion per liter,10/9 l(22.9%)
16704,1,,\meddata\s6000\document\Apollo\2011\JUN\349805.AHF
19827,1,,\meddata\s6000\document\Apollo\2005\OCT\18381.TIF|
21935,1,,51513
26606,1,,repeat 3/52
14469,1,,Patient safety
21879,1,,nanog/ml
7571,1,,\meddata\s6000\document\Apollo\2012\JUL\MERG4012.T
24351,1,,400l /min
19055,1,,never smoked
27864,1,billion per liter,x10^9/l(42.9%)
20092,1,,a little of the time
27721,1,,\meddata\s6000\document\Apollo\2009\MAR\101161.TIF
28210,1,,ugH/b
13736,1,,- 3.79
25316,1,,fastng
24800,1,,number of days
22450,1,,to 3x a week
20932,1,,mL/min/1.72m2
19952,1,,uh/L
12963,1,,g/week20
27980,1,,cannabis joints/day
25825,1,,\meddata\s6000\document\Apollo\2011\DEC\MERG3016.T
28812,1,,- 34 /day
13432,1,,pouches a week
21456,1,,nanogram/dl
27754,1,,macrogram/l
19965,1,,"l,"
27661,1,,\meddata\s6000\document\Apollo\2009\JAN\SCAN9289.T
27792,1,,0/ week
15626,1,,4/5 YR
14287,1,,\meddata\s6000\document\Apollo\2012\MAY\SCAN1982.T
19749,1,,\meddata\s6000\document\Apollo\2005\APR\10351.TIF|
11502,1,,(2.58-3.8)
22370,1,,18.0
28014,1,,-25 /day
25580,1,,continue check 3/52
9523,1,,IU?ml
13828,1,,10.6
25544,1,,\meddata\s6000\document\Apollo\2009\OCT\153201.TIF
9674,1,,2107
13687,1,,2.23
22435,1,,2/daily
23119,1,percent,%FEV1
6975,1,,3333
18989,1,,1mg/l
8408,1,,\meddata\s6000\document\Apollo\2012\9\Document 194
15666,1,,/packs per day
15541,1,,Cigs./day
6771,1,,. .4. .
25289,1,,\meddata\s6000\document\Apollo\2011\MAR\MERG1416.T
28605,1,,fdays
8424,1,,\meddata\s6000\document\Apollo\2009\JUL\106008.TIF
21784,1,,DAPT LIFELONG
17726,1,billion per liter,10/9 l(73.9%)
16930,1,,ng/L13
15882,1,,g/a week
21006,1,billion per liter,10/9 l(.070%)
15460,1,,g/3 monthly
21516,1,,ug Hb/g faces
23527,1,,4mg/5mg daily
15393,1,,cans/per week
13498,1,,2to 3 units a weeken
15609,1,billion per liter,10/9 l(9.43%)
24447,1,,\meddata\s6000\document\Apollo\2009\JAN\129039.TIF
25594,1,,lower end of normal
14795,1,,CPMS ID 14611
24267,1,,litres daily
19491,1,,\meddata\s6000\document\Apollo\2004\AUG\6411.TIF|6
16731,1,,\meddata\s6000\document\Apollo\2010\JAN\SCAN0816.T
20851,1,,cell/mm3
5636,1,,2214
21672,1,billion per liter,10/9 l(4.47%)
11443,1,,g/Ls
11677,1,,mmo1/1 (0.5-1.8)
11716,1,,(0.3-6)
16251,1,,10^-10m
20981,1,,133-146
26965,1,,WBC 10.08
17806,1,,\meddata\s6000\document\Apollo\2009\MAR\40841.TIF|
24561,1,,\meddata\s6000\document\Apollo\2012\OCT\299512.TIF
19378,1,,\meddata\s6000\document\Apollo\2003\JUL\475.TIF|47
18671,1,,30 per year
23572,1,,4/5 mg Alt
3556,1,,Percentage CD8 count
18465,1,,pipes week
23122,1,,glasses /day
22815,1,,98/62
24853,1,billion per liter,x10^9/l(11%)
24865,1,,spliffs per week
17852,1,,1.6-6.9
27498,1,,months- (worse)
19981,1,,10*12 cells/H
19738,1,,\meddata\s6000\document\Apollo\2004\SEP\7029.TIF|7
18844,1,,days/ appetito
17671,1,,EX9536 4388
13511,1,,10.9 L
24953,1,,Wasp RAST test
25817,1,,\meddata\s6000\document\Apollo\2010\JUN\180712.TIF
24080,1,,exp =2.5 - 8.1
27290,1,billion per liter,x10^9/l(28.3%)
22805,1,,occassions only  -
6126,1,,1567
26110,1,,stable same 4 mg
28429,1,,only if socialising
24524,1,,\meddata\s6000\document\Apollo\2012\JUL\285021.TIF
17958,1,,< x g/L
27829,1,billion per liter,x10^9/l(43.1%)
6869,1,,g of pressure
24082,1,,exp 0 - 50
14735,1,,apyrexial
25356,1,,shigella
24085,1,,exp 3 - 17
29326,1,,U/every month
11513,1,,(0.87-1.29)
20148,1,,60mg/l
24227,1,,/     (
29292,1,,50g /week
14684,1,,/week socially
27658,1,,\meddata\s6000\document\Apollo\2013\FEB\MERG9712.T
20204,1,,time/last night only
20974,1,,0/vapes cigars joint
28921,1,,6 monts
25537,1,,\meddata\s6000\document\Apollo\2009\FEB\119946.TIF
19830,1,,\meddata\s6000\document\Apollo\2006\AUG\30961.TIF|
7854,1,,OCTOBER 2016
29314,1,,"/a week, social"
26954,1,,streptococcus
5326,1,,2352
3311,1,,Rh. Positive
22481,1,,pouches/day
22509,1,,no  value
19954,1,,x10\E\S
18524,1,,35.9
21980,1,,U/ two week
13921,1,,U/Sunday
25905,1,,to reduce further
17305,1,billion per liter,10x10^9/L
12972,1,,27/40
20406,1,,decg
18175,1,,2gram
29152,1,,nonthly or less
10819,1,,20 times/week
11770,1,,2.39
14296,1,,\meddata\s6000\document\Apollo\2011\MAY\SCAN5132.T
27020,1,,"WBC 3,37"
9398,1,percent,% (2.03)
8794,1,,P / WEEK
24137,1,,18/6
28410,1,,1 pint per weel.
20465,1,,38 & 15 ng/L
25802,1,,\meddata\s6000\document\Apollo\2008\SEP\103170.TIF
21641,1,,montes
22427,1,,20 rolls per day
23638,1,,bottles gin/week
14290,1,,\meddata\s6000\document\Apollo\2009\DEC\SCAN4233.T
23806,1,,litres\min
28442,1,,/drinks per month
25414,1,,WBC 15.65
24589,1,,\meddata\s6000\document\Apollo\2013\JAN\307925.TIF
22908,1,percent,6.9%
11764,1,,1.79
20423,1,,</day
21824,1,,a day/sometimes at n
21357,1,,1-U/week
25271,1,,\meddata\s6000\document\Apollo\2008\DEC\116392.TIF
5450,1,,2103
27397,1,,/6mth
17140,1,,bottles/weekly
27472,1,billion per liter,10/9 l(.789%)
28604,1,,pot 50
6532,1,,three times a week
21300,1,,indefiniute
11683,1,,Permin
12794,1,,\meddata\s6000\document\Apollo\2013\MAY\154289.TIF
25509,1,,WBX 4.84
20497,1,day per week,Day per week
20548,1,,U/special occassion
9891,1,,mcg/1t
27832,1,billion per liter,x10^9/l(73.0%)
17791,1,,- drinks minimal
27932,1,billion per liter,x10^9/l(78.6%)
28949,1,,once per day
11635,1,,g/m2
19586,1,,\meddata\s6000\document\Apollo\2004\JAN\3421.TIF|3
25160,1,,WBC 12.88
19890,1,,\meddata\s6000\document\Apollo\2013\1\Document 174
28748,1,,m onthly
20044,1,,centiles
